pid	vid
100521	532286
100522	423616
100523	650381
100524	660611
100525	540676
100526	674876
100527	597186
100528	943381
100529	336801
100530	555366
100531	588196
100532	339911
100533	943386
100534	621611
100535	943391
100536	731571
100537	557741
100538	587611
100539	731576
100540	943396
100541	943401
100542	731581
100543	464631
100544	731586
100545	518961
100546	453801
100547	731591
100548	731596
100549	315781
100550	364496
100551	497766
100552	358246
100553	731601
100554	421826
100555	567156
100556	943406
100557	731606
100558	731611
100559	389276
10056	581966
100560	943411
100561	943416
100562	731616
100563	731621
100564	494731
100565	943421
100566	943426
100567	731626
100568	731631
100569	352456
100570	943431
100571	943436
100572	449171
100573	731636
100574	452366
100575	445596
100576	943441
100577	731641
100578	535951
100579	444481
100580	479046
100581	731646
100582	632996
100583	393706
100584	330416
100585	649066
100586	731651
100587	943446
100588	505986
100589	389791
100590	943451
100591	731656
100592	943846
100593	477851
100594	583826
100595	403481
100596	602466
100597	731661
100598	632886
100599	600216
1006	606556
100600	943851
100601	315161
100602	731666
100603	943856
100604	609486
100605	943861
100606	584471
100607	731671
100608	943866
100609	338221
10061	438501
100610	943871
100611	731676
100612	338591
100613	943876
100614	616416
100615	365966
100616	485301
100617	731681
100618	943881
100619	538386
100620	943886
100621	731686
100622	731691
100623	943891
100624	444266
100625	662186
100626	731696
100627	537121
100628	497466
100629	504186
100630	943896
100631	731701
100632	731706
100633	562026
100634	612966
100635	943901
100636	324681
100637	731711
100638	943906
100639	429886
100640	943911
100641	305196
100642	731716
100643	943916
100644	731721
100645	943921
100646	511731
100647	943926
100648	731726
100649	406431
100650	943931
100651	580586
100652	731731
100653	943936
100654	333971
100655	591641
100656	434721
100657	731736
100658	943941
100659	584681
10066	418676
100660	943946
100661	510746
100662	415141
100663	496011
100664	731741
100665	943951
100666	731746
100667	943956
100668	584311
100669	596781
100670	943961
100671	731751
100672	632776
100673	446856
100674	731756
100675	943966
100676	731761
100677	496016
100678	486431
100679	731766
100680	943971
100681	731771
100682	943976
100683	487136
100684	499091
100685	534661
100686	731776
100687	430086
100688	943981
100689	341746
100690	943986
100691	731781
100692	943991
100693	491026
100694	731786
100695	599076
100696	455701
100697	364561
100698	943996
100699	731791
100700	375016
100701	731796
100702	558751
100703	944001
100704	488816
100705	593296
100706	731801
100707	509511
100708	314761
100709	731806
10071	478416
100710	496646
100711	481941
100712	731811
100713	546341
100714	731816
100715	598496
100716	472001
100717	731821
100718	369966
100719	731826
100720	944006
100721	308976
100722	731831
100723	731836
100724	731841
100725	944011
100726	642406
100727	731846
100728	574201
100729	731851
100730	944016
100731	315386
100732	731856
100733	609946
100734	504171
100735	578401
100736	556651
100737	731861
100738	594286
100739	731866
100740	944021
100741	612446
100742	731871
100743	731876
100744	593311
100745	944026
100746	494396
100747	322646
100748	341596
100749	731881
100750	364456
100751	944031
100752	731886
100753	577211
100754	731891
100755	606476
100756	944036
100757	498516
100758	731896
100759	731901
10076	694841
100760	632551
100761	318736
100762	356931
100763	731906
100764	731911
100765	335776
100766	563276
100767	525156
100768	731916
100769	342511
100770	944041
100771	944046
100772	434486
100773	731921
100774	731926
100775	944051
100776	430646
100777	593856
100778	731931
100779	424351
100780	944056
100781	642506
100782	731936
100783	306081
100784	731941
100785	381291
100786	731946
100787	944061
100788	731951
100789	731956
100790	429901
100791	318686
100792	612646
100793	351641
100794	732451
100795	416856
100796	732456
100797	944066
100798	732461
100799	732466
100800	524006
100801	612626
100802	642296
100803	732471
100804	732476
100805	732481
100806	944071
100807	642391
100808	732486
100809	413566
10081	694846
100810	732491
100811	404396
100812	642501
100813	732496
100814	732501
100815	523516
100816	732506
100817	562456
100818	467781
100819	732511
100820	447741
100821	642361
100822	477821
100823	569051
100824	732516
100825	546816
100826	732521
100827	446751
100828	732526
100829	732531
100830	944076
100831	732536
100832	375771
100833	732541
100834	613051
100835	528961
100836	732546
100837	523576
100838	732551
100839	732556
100840	944081
100841	732561
100842	322806
100843	732566
100844	732571
100845	944086
100846	732576
100847	311451
100848	732581
100849	464576
100850	371546
100851	732586
100852	650356
100853	732591
100854	732596
100855	675221
100856	732601
100857	592841
100858	732606
100859	732611
10086	694851
100860	944091
100861	732616
100862	642486
100863	732621
100864	732626
100865	944096
100866	732631
100867	944101
100868	732636
100869	732641
100870	387216
100871	642386
100872	732646
100873	732651
100874	732656
100875	408811
100876	944106
100877	732661
100878	732666
100879	732671
100880	446001
100881	639661
100882	732676
100883	732681
100884	732686
100885	601591
100886	639681
100887	732691
100888	732696
100889	601686
100890	316006
100891	732701
100892	450406
100893	732706
100894	580686
100895	406716
100896	732711
100897	732716
100898	388146
100899	395291
100900	944111
100901	732721
100902	732726
100903	441621
100904	732731
100905	596861
100906	732736
100907	732741
100908	944116
100909	520111
10091	625511
100910	409911
100911	732746
100912	732751
100913	360301
100914	342341
100915	944121
100916	732756
100917	732761
100918	601241
100919	732766
100920	309441
100921	732771
100922	732776
100923	341966
100924	732781
100925	944126
100926	732786
100927	377276
100928	435851
100929	732791
100930	406821
100931	732796
100932	613816
100933	317461
100934	732801
100935	548121
100936	460031
100937	540266
100938	560546
100939	732806
100940	601206
100941	359866
100942	387401
100943	500736
100944	732811
100945	944131
100946	628371
100947	368051
100948	732816
100949	583786
100950	316786
100951	732821
100952	732826
100953	457806
100954	732831
100955	519056
100956	732836
100957	515661
100958	732841
100959	587401
10096	567411
100960	944136
100961	519631
100962	602901
100963	539586
100964	732846
100965	454221
100966	586656
100967	732851
100968	732856
100969	732861
100970	565431
100971	732866
100972	306466
100973	732871
100974	732876
100975	944141
100976	642531
100977	732881
100978	732886
100979	610896
100980	420741
100981	944146
100982	551511
100983	732891
100984	732896
100985	944151
100986	546241
100987	732901
100988	502086
100989	732906
100990	642291
100991	474756
100992	732911
100993	732916
100994	732921
100995	642341
100996	944156
100997	732926
100998	377291
100999	732931
101	466251
101000	578621
101001	662311
101002	363666
101003	732936
101004	732941
101005	642521
101006	944161
101007	732946
101008	732951
101009	732956
10101	694856
101010	944166
101011	683376
101012	732961
101013	732966
101014	732971
101015	944171
101016	433286
101017	396931
101018	732976
101019	732981
101020	582851
101021	589351
101022	733536
101023	350241
101024	733541
101025	944176
101026	420761
101027	733546
101028	511501
101029	613116
101030	431936
101031	422886
101032	347796
101033	733551
101034	326206
101035	557296
101036	352931
101037	437966
101038	733556
101039	733561
101040	488001
101041	382846
101042	381841
101043	733566
101044	487606
101045	733571
101046	347001
101047	733576
101048	733581
101049	421586
101050	618801
101051	577586
101052	631921
101053	733586
101054	398441
101055	733591
101056	383281
101057	733596
101058	733601
101059	352491
10106	694861
101060	396241
101061	598621
101062	370711
101063	733606
101064	461751
101065	448816
101066	403886
101067	733611
101068	733616
101069	561061
101070	549921
101071	733621
101072	733626
101073	733631
101074	617346
101075	471736
101076	445151
101077	733636
101078	484356
101079	733641
101080	733646
101081	318461
101082	733651
101083	564976
101084	733656
101085	733661
101086	459716
101087	733666
101088	733671
101089	548576
101090	576841
101091	733676
101092	733681
101093	399601
101094	733686
101095	407046
101096	733691
101097	733696
101098	563441
101099	733701
1011	612046
101100	944181
101101	733706
101102	733711
101103	662236
101104	733716
101105	733721
101106	394691
101107	733726
101108	733731
101109	354561
10111	694866
101110	388151
101111	733736
101112	733741
101113	733746
101114	663871
101115	944186
101116	733751
101117	317021
101118	733756
101119	369721
101120	324311
101121	733761
101122	588886
101123	733766
101124	416131
101125	944191
101126	733771
101127	733776
101128	733781
101129	431351
101130	944196
101131	733786
101132	733791
101133	733796
101134	944201
101135	944206
101136	733801
101137	733806
101138	733811
101139	662711
101140	484026
101141	733816
101142	733821
101143	733826
101144	944211
101145	944216
101146	733831
101147	733836
101148	733841
101149	944221
101150	375406
101151	733846
101152	733851
101153	733856
101154	405781
101155	944226
101156	733861
101157	733866
101158	733871
101159	944231
10116	694871
101160	733876
101161	944616
101162	733881
101163	733886
101164	944621
101165	944626
101166	733891
101167	733896
101168	733901
101169	399901
101170	944631
101171	733906
101172	418296
101173	733911
101174	477431
101175	944636
101176	733916
101177	733921
101178	733926
101179	326641
101180	733931
101181	944641
101182	733936
101183	733941
101184	944646
101185	733946
101186	944651
101187	485491
101188	733951
101189	944656
101190	467821
101191	733956
101192	344501
101193	733961
101194	944661
101195	666426
101196	395171
101197	610811
101198	733966
101199	418161
101200	319556
101201	944666
101202	733971
101203	631531
101204	944671
101205	533201
101206	944676
101207	733976
101208	598331
101209	944681
10121	422636
101210	431266
101211	369696
101212	614231
101213	470356
101214	583326
101215	944686
101216	578421
101217	733981
101218	733986
101219	944691
101220	944696
101221	308511
101222	733991
101223	733996
101224	944701
101225	320821
101226	734001
101227	734006
101228	734011
101229	944706
101230	944711
101231	556026
101232	734016
101233	944716
101234	734021
101235	320506
101236	734026
101237	734031
101238	309961
101239	734036
101240	438441
101241	315706
101242	734041
101243	311006
101244	734046
101245	609591
101246	734051
101247	734056
101248	384216
101249	734061
101250	944721
101251	560541
101252	734066
101253	669256
101254	436196
101255	944726
101256	734071
101257	503836
101258	944731
101259	432046
10126	10126
101260	437911
101261	611601
101262	734076
101263	421156
101264	365441
101265	515446
101266	605191
101267	734081
101268	528771
101269	734086
101270	944736
101271	579841
101272	734091
101273	501206
101274	734096
101275	425926
101276	513286
101277	734101
101278	944741
101279	441326
101280	593961
101281	606931
101282	734106
101283	543681
101284	734636
101285	571251
101286	620896
101287	734641
101288	525961
101289	734646
101290	310576
101291	430281
101292	734651
101293	944746
101294	734656
101295	450726
101296	522561
101297	734661
101298	351746
101299	734666
101300	944751
101301	382351
101302	364521
101303	424046
101304	944756
101305	734671
101306	351631
101307	734676
101308	496651
101309	944761
10131	437171
101310	734681
101311	571036
101312	734686
101313	944766
101314	944771
101315	734691
101316	475041
101317	734696
101318	661031
101319	519691
101320	511321
101321	734701
101322	734706
101323	405921
101324	944776
101325	478226
101326	734711
101327	550511
101328	316636
101329	944781
101330	335876
101331	734716
101332	734721
101333	944786
101334	534996
101335	594646
101336	734726
101337	552696
101338	499866
101339	944791
101340	490646
101341	734731
101342	532106
101343	370276
101344	536446
101345	493281
101346	734736
101347	734741
101348	642376
101349	405776
101350	506031
101351	734746
101352	566761
101353	642366
101354	589671
101355	944796
101356	734751
101357	734756
101358	459196
101359	339001
10136	690846
101360	306771
101361	352791
101362	734761
101363	412061
101364	410671
101365	944801
101366	734766
101367	734771
101368	500846
101369	330346
101370	475481
101371	734776
101372	582151
101373	543726
101374	482506
101375	448471
101376	329051
101377	581146
101378	575296
101379	524521
101380	523461
101381	734781
101382	734786
101383	944806
101384	601431
101385	944811
101386	734791
101387	734796
101388	944816
101389	734801
101390	506731
101391	529196
101392	734806
101393	436216
101394	608536
101395	944821
101396	734811
101397	734816
101398	483426
101399	734821
101400	447631
101401	547301
101402	734826
101403	944826
101404	734831
101405	648861
101406	395566
101407	734836
101408	595586
101409	734841
10141	639416
101410	944831
101411	734846
101412	734851
101413	388456
101414	944836
101415	734856
101416	734861
101417	734866
101418	355306
101419	734871
101420	944841
101421	376491
101422	734876
101423	944846
101424	944851
101425	734881
101426	734886
101427	734891
101428	944856
101429	944861
101430	734896
101431	734901
101432	334901
101433	944866
101434	582296
101435	734906
101436	734911
101437	734916
101438	538211
101439	734921
101440	414386
101441	734926
101442	734931
101443	944871
101444	734936
101445	944876
101446	495526
101447	399886
101448	944881
101449	734941
101450	944886
101451	734946
101452	734951
101453	642551
101454	734956
101455	944891
101456	734961
101457	734966
101458	944896
101459	519581
10146	403656
101460	734971
101461	734976
101462	734981
101463	552796
101464	944901
101465	412706
101466	734986
101467	734991
101468	944906
101469	944911
101470	734996
101471	735001
101472	735006
101473	388036
101474	472381
101475	476411
101476	735011
101477	944916
101478	735016
101479	546616
101480	353451
101481	549136
101482	341691
101483	334161
101484	327296
101485	735021
101486	735026
101487	419086
101488	666661
101489	735031
101490	631591
101491	735036
101492	595501
101493	599816
101494	735041
101495	398541
101496	572161
101497	661071
101498	481156
101499	735046
101500	401066
101501	735051
101502	573596
101503	735056
101504	650291
101505	735061
101506	735066
101507	430656
101508	735071
101509	326101
10151	10151
101510	412076
101511	589336
101512	382381
101513	735076
101514	606651
101515	457751
101516	735081
101517	513936
101518	735086
101519	384816
101520	454736
101521	735091
101522	735096
101523	547986
101524	443876
101525	735101
101526	735106
101527	556941
101528	735111
101529	944921
101530	414056
101531	735116
101532	735121
101533	322656
101534	944926
101535	471286
101536	735126
101537	944931
101538	735131
101539	944936
101540	331876
101541	735136
101542	735141
101543	944941
101544	944946
101545	735146
101546	553841
101547	404121
101548	735151
101549	944951
101550	492541
101551	483526
101552	944956
101553	944961
101554	735156
101555	384761
101556	506566
101557	735161
101558	642401
101559	944966
10156	434176
101560	536811
101561	632031
101562	735166
101563	944971
101564	560351
101565	735171
101566	735176
101567	944976
101568	735181
101569	642351
101570	598031
101571	735186
101572	944981
101573	735191
101574	547031
101575	735196
101576	735201
101577	735206
101578	348186
101579	435571
101580	735766
101581	735771
101582	944986
101583	735776
101584	423666
101585	735781
101586	591466
101587	735786
101588	355011
101589	367451
101590	735791
101591	337621
101592	735796
101593	944991
101594	331266
101595	735801
101596	363816
101597	735806
101598	944996
101599	554901
1016	633371
101600	735811
